"UF";"Candidato_Eleito";"Votos";"N_Mun";"N_ZE";"G_Mun";"M_Mun";"M_MZE";"MZN";"Moran_I";"Moran_P"
"AC";"ALAN RICK";17903;1,45329534095148;3,9802765470119;0,12331600720054;0,492438886656603;0,345253738475071;2,76202990780057;-0,0723485905241598;0,8
"AC";"ANGELIM";39844;1,51148904003586;4,15687402837583;0,113205895331327;0,492438886656603;0,345253738475071;2,76202990780057;-0,0818939998459479;0,92
"AC";"CÉSAR MESSIAS";26448;6,6441886925805;5,49755741469319;0,0468015500371515;0,588403939923765;0,588403939923765;4,70723151939012;-0,135450917976424;0,8
"AC";"FLAVIANO MELO";18372;2,91958035316424;5,579634365999;0,0159818367501172;0,492438886656603;0,492438886656603;3,93951109325283;-0,000323094730363901;0,17
"AC";"JÉSSICA SALES";20339;3,87097789365443;1,55627822733445;0,333597458087609;0,117016713182672;0,117016713182672;0,93613370546138;0,219090915894187;0,01
"AC";"LÉO DO PT";20876;4,35551463382175;7,49128110771448;0,0114161332679014;0,531612784118676;0,531612784118676;4,25290227294941;-0,0273149401777734;0,33
"AC";"MAJOR ROCHA";23466;2,37851195546902;5,60738794611065;0,0332946188507157;0,492438886656603;0,492438886656603;3,93951109325283;-0,0181903560171988;0,23
"AC";"SIBÁ MACHADO";18395;4,6404558923655;7,16383123773247;0,0166886882823085;0,513650728147432;0,513650728147432;4,10920582517946;0,0138795029485308;0,11
"AL";"ARTHUR LIRA";98231;32,9199489701916;25,6673742682671;0,0752343187062623;0,395187511690255;0,1280675229129;1,1526077062161;0,269683123420793;0,01
"AL";"CICERO ALMEIDA";64435;1,66433703586697;5,12942746278608;0,255069781259599;0,276038094644305;0,144666126317102;1,30199513685392;0,00718412043634466;0,01
"AL";"GIVALDO CARIMBÃO";82582;20,0477339243629;22,5787156517665;0,036612483883193;0,428634110605399;0,375025718561008;3,37523146704907;-0,044583298054817;0,77
"AL";"JHC";135929;3,84952461301204;12,5042781039015;0,0563888697840326;0,276038094644305;0,276038094644305;2,48434285179874;-0,000417827255987172;0,17
"AL";"MARX BELTRÃO";123317;30,8323252442277;29,379245165604;0,0551906882010701;0,492945320780597;0,439809994388678;3,9582899494981;0,0873817198855691;0,09
"AL";"MAURICIO QUINTELLA";76706;18,6928729067287;27,9604008472141;0,0197190477538478;0,369740943949124;0,325504239665815;2,92953815699233;0,106477300866091;0,01
"AL";"PAULÃO";53284;12,0482911631103;21,4103088268231;0,0134823685290742;0,361286551530644;0,338259866575223;3,04433879917701;-0,0200006973765012;0,43
"AL";"PEDRO VILELA";119582;40,4363981252342;39,991173226368;0,0451559630016264;0,442546293409814;0,3917053743999;3,5253483695991;-0,0596530511313029;0,85
"AL";"RONALDO LESSA";88125;5,29775626495886;17,1872237699066;0,0229258987494949;0,345232714009601;0,342938306627595;3,08644475964835;-0,0261483687724478;0,83
"AP";"ANDRÉ ABDON";13798;2,03291040652377;3,84045934591676;0,0157732075424204;0,58879913927311;0,58879913927311;4,71039311418488;-0,127281548023567;0,88
"AP";"CABUÇU";18709;1,82400940662707;3,30045561013894;0,0296981738056187;0,58879913927311;0,58879913927311;4,71039311418488;-0,114249341539295;0,84
"AP";"JANETE";21108;1,92880236472626;3,50667060316215;0,0246937959569013;0,58879913927311;0,58879913927311;4,71039311418488;-0,131511957555323;0,95
"AP";"JOZI ROCHA";10007;3,02013312525569;3,55415831528009;0,134847054631828;0,743768016714621;0,492787880269847;3,94230304215877;0,112223730447964;0,05
"AP";"MARCOS REATEGUI";12485;3,1952207683741;4,3821536358497;0,0612935573160021;0,743768016714621;0,492787880269847;3,94230304215878;0,078164054195133;0,14
"AP";"PROFESSORA MARCIVÂNIA";16162;2,12601064360299;2,2411134114893;0,369549330267636;0,154968877441512;0,154968877441512;1,23975101953209;0,0658255240789661;0,05
"AP";"ROBERTO GÓES";22134;2,1213737082657;3,95541215681924;0,0130553428011885;0,58879913927311;0,58879913927311;4,71039311418488;-0,1241316116254;0,93
"AP";"VINÍCIUS GURGEL";18661;7,40588615736582;9,30562424774735;0,0970297358667608;0,689494404460131;0,689494404460131;5,51595523568105;-0,196141199539062;0,97
"AM";"ALFREDO NASCIMENTO";120060;5,57389768372305;36,3748255866613;0,0329927250803819;0,617699676620184;0,548296406926546;4,38637125541237;0,0109105529949447;0,15
"AM";"ARTUR BISNETO";250916;2,87249636447674;28,7980455975878;0,000987379503299225;0,578678725838656;0,50518273042815;4,0414618434252;-0,00380117415745321;0,17
"AM";"ATILA LINS";89453;24,9767062531901;37,2743030835789;0,217642598703167;0,675153597400142;0,174866754055067;1,39893403244054;-0,0605708874642728;0,73
"AM";"CONCEIÇÃO SAMPAIO";71878;1,86256886229241;18,7042299059748;0,0262602786651585;0,578678725838656;0,363841713752776;2,91073371002221;0,0191284394527051;0,01
"AM";"HISSA ABRAHÃO";113646;1,4285752881058;16,6938956731839;0,0680721032870928;0,578678725838656;0,376880746882382;3,01504597505905;-0,00171690101262247;0,04
"AM";"MARCOS ROTTA";117955;1,74913747453025;18,0705462691477;0,0343185722753603;0,578678725838656;0,392633093709637;3,1410647496771;-0,00838679657436829;0,23
"AM";"PAUDERNEY";103904;2,10840271819131;23,0746471560939;0,0129470893314584;0,578678725838656;0,415430569488201;3,32344455590561;-0,0122419577057673;0,29
"AM";"SILAS CAMARA";166281;6,03638892583814;42,1957674683178;0,035164282418837;0,647157045930189;0,595480374466776;4,76384299573421;-0,0118993412439492;0,4
"BA";"AFONSO FLORENCE";82661;38,0754956135958;40,3942284780195;0,0288896742607744;0,222689632588818;0,0371327689305795;1,4481779882926;0,0588810036765628;0,04
"BA";"ALELUIA";101924;20,5634372041984;49,246212742427;0,0121039643981257;0,229872737748963;0,146999241605043;5,73297042259666;0,0320495369233654;0,05
"BA";"ALICE PORTUGAL";72682;7,44248849498724;45,0067875082667;0,0423894585131689;0,202541266665006;0,10830053836514;4,22372099624045;0,015552743535263;0,06
"BA";"ANTONIO BRITO";159840;12,1754049620517;21,9261796541109;0,0581242345592846;0,201614543798772;0,0452375822228346;1,76426570669055;0,0750993437570196;0,01
"BA";"ARTHUR MAIA";95698;38,936712494757;26,340114894938;0,0417073523878455;0,208774414024139;0,0373303494550905;1,45588362874853;0,239054987502927;0,01
"BA";"BEBETO";96134;10,4261648281041;20,470602441095;0,0790642676769788;0,209777193691264;0,0525714637223267;2,05028708517074;0,0882689314106701;0,01
"BA";"BENITO GAMA";71372;29,8439550593353;48,4744268104119;0,0170278958020069;0,263862438488018;0,0844506300261214;3,29357457101873;0,0244748461378124;0,12
"BA";"CACÁ LEÃO";125605;28,6020171698696;24,1034574370562;0,0518648341838762;0,208311721222238;0,038358035635035;1,49596338976637;0,175580522383425;0,01
"BA";"CAETANO";125862;8,84945664158737;16,7100846648107;0,0898761940681442;0,199644923392414;0,0375861008954477;1,46585793492246;0,164456572874294;0,01
"BA";"CLAUDIO CAJADO";89118;51,6468675575712;37,9093756987169;0,0387414379868911;0,207835321480397;0,0365960252214386;1,4272449836361;0,178831601532855;0,01
"BA";"DANIEL ALMEIDA";135382;22,6457196944931;38,122212957776;0,0233095549421991;0,208844285986276;0,0693258575905773;2,70370844603251;0,0988604156273277;0,01
"BA";"ELMAR";88334;24,2718808179766;23,6465083994746;0,0524931722482433;0,209503054892449;0,0398756613389573;1,55515079221933;0,139143385196541;0,01
"BA";"ERIVELTON SANTANA";74836;25,7749629736363;80,8600079213666;0,00539882806103418;0,363987622967549;0,293924265145041;11,4630463406566;0,0669079132984399;0,04
"BA";"FELIX JR";130583;39,2885618337556;38,6232431792039;0,0369561425204757;0,205707904106918;0,044204212677549;1,72396429442441;0,0681231180564296;0,05
"BA";"IMBASSAHY";120479;1,8975283975645;29,0167005834452;0,307520377153588;0,172468574750713;0,100233168421015;3,90909356841959;0,017107072616196;0,01
"BA";"IRMÃO LAZARO";161438;12,1565533713566;66,3483547882669;0,0192988675989855;0,280102822108491;0,232875226227193;9,08213382286054;0,0478177974508339;0,02
"BA";"JOÃO BACELAR";111643;39,8662605428622;29,9587859461143;0,0449645658823785;0,211723746320647;0,042645967627216;1,66319273746142;0,186061551379568;0,01
"BA";"JOAO CARLOS BACELAR";95158;4,23241989157061;31,5494419633493;0,101958996010091;0,188581416966617;0,103901112117587;4,05214337258588;0,00486033302894289;0,06
"BA";"JOÃO GUALBERTO";117671;23,9224963246138;30,2038321911541;0,0310668608985581;0,271206182297956;0,0784635389547041;3,06007801923346;0,233613074714075;0,01
"BA";"JORGE SOLLA";125159;17,4362038089788;83,2954445607584;0,00820381382218302;0,27999567395603;0,227049275278983;8,85492173588033;0,0207531233240132;0,08
"BA";"JOSÉ CARLOS ARAUJO";72013;27,8838504849579;19,4916567469817;0,0525144091297412;0,20289547405201;0,0226457035178846;0,883182437197501;0,187653691727823;0,01
"BA";"JOSÉ NUNES";105776;19,2553391651546;12,5103198814607;0,0746824414492696;0,0249852441448368;0,0249852441448368;0,974424521648636;0,209516722140436;0,01
"BA";"JOSÉ ROCHA";101663;41,8509963146875;26,3774839006632;0,0414465288042425;0,201011271283576;0,0292340612108468;1,14012838722303;0,350668166603481;0,01
"BA";"JOSIAS GOMES";98871;33,5279697510973;26,9422825109505;0,0484376246954931;0,234465565575924;0,0521074336579943;2,03218991266178;0,11820032627366;0,01
"BA";"JUTAHY MAGALHÃES";108476;38,201851045863;51,2268705160488;0,0218464419711577;0,223529266239087;0,0629666732471108;2,45570025663732;0,0215080883587388;0,21
"BA";"LUCIO VIEIRA LIMA";222164;104,162326248511;71,9737508589646;0,0285332240228047;0,285879461504479;0,0963773393525749;3,75871623475042;0,0295196866796943;0,18
"BA";"MÁRCIO MARINHO";117470;4,62449908069119;48,0849133545405;0,0834893195024413;0,213256081911336;0,160787754554171;6,27072242761268;0,0484703581329265;0,01
"BA";"MÁRIO NEGROMONTE JR";169215;46,1561431001046;28,1758810092394;0,044737734808628;0,231363952519828;0,0488159293363779;1,90382124411874;0,237563504293377;0,01
"BA";"MOEMA GRAMACHO";81414;10,3555113565547;13,6938897864155;0,0637819692259867;0,191611152166924;0,0295391242034313;1,15202584393382;0,181082045374444;0,01
"BA";"PAULO AZI";110662;28,9618841525035;37,1677527911405;0,0262236471011796;0,22141873180383;0,059246576315644;2,31061647631012;0,146098687068372;0,01
"BA";"PAULO MAGALHÃES";77045;27,940140636821;32,5613830651914;0,031541425695467;0,219270085389223;0,0401187087861992;1,56462964266177;0,0550136277495757;0,06
"BA";"PELEGRINO";111252;5,3761351606732;44,2052815025406;0,0711702333205491;0,177093998349484;0,12971211581495;5,05877251678305;0,0517852125096231;0,01
"BA";"ROBERTO BRITTO";110822;43,812256414475;39,3769526706594;0,0392866251343622;0,274134954184554;0,0487301773828435;1,9004769179309;0,0953035431320843;0,01
"BA";"RONALDO CARLETTO";148628;60,7419256232245;43,6840547719774;0,0397106046461761;0,257371533794881;0,0656933513484859;2,56204070259095;0,151076569557887;0,01
"BA";"SÉRGIO BRITO";83658;24,5325664687038;15,3797583275724;0,0641188267129756;0,019639370410161;0,019639370410161;0,765935445996277;0,239687232460312;0,01
"BA";"TIA ERON";116912;2,95142786447334;31,0509456370091;0,168300078027134;0,172468574750717;0,109818498384669;4,2829214370021;0,063356586890021;0,01
"BA";"ULDURICO JUNIOR";39904;6,63763829434259;5,66873786768885;0,172801573315873;0,0159378279949536;0,0159378279949536;0,62157529180319;0,274255568708835;0,01
"BA";"VALMIR ASSUNÇÃO";123284;30,7849534574126;56,131566104243;0,0110364592602305;0,282836687995449;0,105167499641865;4,10153248603275;0,0493411318666405;0,02
"BA";"WALDENOR PEREIRA";114965;11,3283825170585;17,1165045912114;0,104510259064767;0,0375730625867234;0,0375730625867234;1,46534944088221;0,242655060737552;0,01
"CE";"ADAIL CARNEIRO";113885;11,5472990836152;21,9460021649459;0,0254235182546142;0,290944491581745;0,157501376642352;3,46503028613174;0,108840092697361;0,01
"CE";"ANDRÉ FIGUEIREDO";125360;10,1683027808647;43,2710572271988;0,0121752997316489;0,30711541709515;0,265267488354755;5,83588474380461;0,0274343328312559;0,08
"CE";"ANIBAL";173736;25,5102045060019;16,3986344851317;0,093697357977811;0,0594442162532745;0,059444216253274;1,30777275757203;0,282420827466386;0,01
"CE";"ARNON BEZERRA";84474;8,92537106468314;12,86343493989;0,129464350621092;0,307712045395719;0,0435323793276789;0,957712345208937;0,222993604700165;0,01
"CE";"BALMAN";87666;17,552534337015;19,8461219141403;0,0762494696927186;0,328848127616495;0,0624193627370149;1,37322598021433;0,0667989699258628;0,09
"CE";"CABO SABINO";120485;4,06560889917804;36,5998969015229;0,0504398238808766;0,300367371127788;0,255044107521014;5,61097036546231;0,0690455840402318;0,01
"CE";"CHICO LOPES";80578;3,93569999345187;30,0268368156597;0,0597039765773921;0,291967354338247;0,199607644437515;4,39136817762533;0,0864282660635178;0,01
"CE";"DANILO FORTE";180157;25,8725700875154;22,9535216115834;0,0606111608457541;0,347671900406048;0,0924199223883519;2,03323829254374;0,204054178971528;0,01
"CE";"DOMINGOS NETO";185226;29,8855349223537;33,3435479490784;0,0564975247830537;0,321443990393984;0,099844546847315;2,19658003064093;0,169005980259492;0,01
"CE";"GENECIAS NORONHA";221567;44,9709370164976;38,7723476515258;0,0823492529810021;0,0906310368640337;0,0906310368640337;1,99388281100874;0,132341714729757;0,02
"CE";"GORETE PEREIRA";130983;23,2694292981602;30,8658790401874;0,0512664950173847;0,339208672996723;0,0891167302770377;1,96056806609483;0,212316145655962;0,01
"CE";"JOSÉ AIRTON";94056;22,3985814361018;17,489560324143;0,0772599335429532;0,300048819585399;0,0379735924519018;0,835419033941839;0,224403232547543;0,01
"CE";"JOSÉ GUIMARÃES";209032;42,2824544145484;43,4443547623427;0,0638098911152576;0,380003757658979;0,128716809427727;2,83176980741;0,17583086462094;0,01
"CE";"LEONIDAS CRISTINO";91085;9,98494705975924;13,0268118038002;0,111227134336376;0,300351381089582;0,0407536105006585;0,896579431014487;0,140273977285138;0,01
"CE";"LUIZIANNE LINS";130717;1,77531545337757;21,4426681648491;0,234447269602081;0,266770551946138;0,170257179777;3,745657955094;0,0357668678290517;0,01
"CE";"MACEDO";107734;9,91730466878368;33,6625060357859;0,0120863425328183;0,366573874476202;0,214797681044709;4,72554898298361;0,045790713850837;0,06
"CE";"MORONI";277774;2,0767633064604;23,2491985158722;0,181904462116809;0,266770551946138;0,196966539845675;4,33326387660486;0,0618486860987304;0,01
"CE";"MOSES RODRIGUES";147044;15,2887952869194;23,4889747365955;0,0695742853737763;0,326696218256028;0,109532011556801;2,40970425424963;0,107601237147332;0,02
"CE";"ODORICO";121640;19,1989930976585;31,1783986054535;0,0326281229104428;0,336706981550495;0,10819284585703;2,38024260885465;0,00533966482778432;0,33
"CE";"RAIMUNDO MATOS";95145;12,049371788752;23,9907666524647;0,0418690486750515;0,311012489219216;0,11909955097974;2,62019012155429;0,222856137259614;0,01
"CE";"RONALDO MARTINS";117930;3,758590609025;33,0068716216158;0,0611455877134358;0,266770551946138;0,249611242196114;5,4914473283145;0,124127052044298;0,01
"CE";"VITOR VALIM";92499;2,57160335089237;24,3629292629175;0,126995517329483;0,266770551946138;0,208682240963881;4,59100930120539;0,113625940244894;0,01
