"estado";"votos";"areas_m";"areas_z";"areas_mz";"vagas";"media_n_mun";"media_n_ze";"media_g_mun";"media_m";"media_m_z";"media_mzn";"maior_mzn";"menor_mzn";"maior_area";"media_moran";"N_moranP"
"AC";368332;22;10;24;8;3,471;5,13;0,087;0,464;0,429;3,427;4,71;0,94;0,186;-0,0128177777777778;1
"AL";1283120;102;55;106;9;18,421;22,423;0,066;0,378;0,308;2,762;3,96;1,15;0,094;0,035547;3
"AP";368061;16;13;17;8;2,958;4,261;0,092;0,586;0,522;4,186;5,52;1,24;0,338;-0,0546377777777778;0
"AM";1560085;62;70;74;8;5,827;27,647;0,053;0,606;0,422;3,372;4,76;1,4;0,071;-0,00857222222222222;2
"BA";5982371;417;205;447;39;26,337;35,975;0,058;0,206;0,078;3,015;11,46;0,62;0,013;0,1202115;30
"CE";4002492;184;123;201;22;15,774;27,056;0,077;0,291;0,137;3;5,84;0,84;0,029;0,129052173913043;18
"ES";1665277;78;58;85;10;13,322;14,881;0,15;0,231;0,166;1,668;4,18;0,44;0,053;0,236216363636364;10
"DF";1362160;1;21;21;8;NA;17,452;NA;NA;0,421;3,368;3,75;2,85;0,067;NA;NA
"GO";2824329;246;130;263;17;17,835;30,943;0,072;0,319;0,193;3,301;6,13;1;0,043;0,0941394444444444;13
"MA";2892959;217;111;237;18;24,136;28,436;0,058;0,217;0,114;2,056;3,44;0,86;0,03;0,100757368421053;12
"MG";9273472;853;351;905;53;27,129;39,916;0,089;0,146;0,068;3,583;12,39;0,75;0,008;0,173794259259259;53
"MS";1174221;79;54;88;8;11,659;28,763;0,036;0,471;0,402;3,228;4,38;1,12;0,065;0,00394;1
"MT";1334861;141;60;152;8;18,12;24,012;0,051;0,368;0,266;2,123;3,03;0,78;0,049;0,138827777777778;7
"PA";3496764;144;104;158;17;20,102;28,563;0,079;0,303;0,17;2,879;5,53;0,59;0,034;0,183881666666667;17
"PB";1773112;223;77;233;12;22,268;26,088;0,037;0,298;0,221;2,657;4,37;0,97;0,045;0,137905384615385;11
"PE";4129147;185;151;212;25;14,635;26,712;0,075;0,224;0,106;2,635;7,24;0,77;0,023;0,264876923076923;24
"PI";1587477;224;98;232;10;25,79;34,218;0,049;0,371;0,327;3,278;4,51;1,24;0,061;0,05773;5
"PR";5275880;399;206;443;30;20,764;30,17;0,123;0,167;0,094;2,824;7,33;0,44;0,021;0,177971935483871;30
"RJ";7079046;92;249;262;46;4,826;74,221;0,17;0,321;0,146;6,705;18,83;0,37;0,009;0,104693617021277;34
"RN";1451341;167;69;172;8;20,932;27,709;0,028;0,368;0,334;2,678;3,41;1,26;0,063;0,159307777777778;8
"RO";740924;52;35;64;8;9,186;13,916;0,148;0,332;0,172;1,37;3,23;0,61;0,047;0,0258322222222222;3
"RR";225631;15;8;16;8;3,023;3,953;0,04;0,651;0,583;4,667;5,13;3,56;0,445;-0,130973333333333;0
"RS";5501353;497;173;527;31;32,714;38,641;0,053;0,227;0,147;4,543;9,92;0,87;0,014;0,2046034375;31
"SC";3135381;295;105;316;16;23,469;23,942;0,08;0,189;0,124;1,992;4,77;0,35;0,019;0,220004705882353;15
"SE";974311;75;36;78;8;17,49;20,098;0,029;0,426;0,356;2,858;3,95;1;0,076;0,12742;6
"SP";19072417;645;425;792;70;12,335;74,155;0,147;0,253;0,116;8,071;28,64;0,12;0,007;0,125592394366197;70
"TO";670894;139;35;140;8;19,616;12,982;0,048;0,361;0,36;2,888;4,19;0,99;0,166;0,0307688888888889;4
